# t Revolution_1 Revolution_2 Revolution_3 Revolution_4 Revolution_5 Revolution_6 Revolution_7 Revolution_8 Revolution_9 Revolution_10 Revolution_11 Revolution_12
0.0192 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0292 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0392 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0492 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0591 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0691 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0792 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0892 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.0992 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1092 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1191 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1291 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1392 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1592 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1693 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1795 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1894 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.1995 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2093 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2192 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2292 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2393 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2592 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.2692 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
